Nano-RK Version 101
Task1: 0 51757839
Task2: 0 354492369
Task1: 1 298828278
Task1: 2 297851715
Task2: 2 601562808
Task1: 3 296875152
Task1: 4 295898589
Task2: 4 599609682
Task1: 5 294922026
Task1: 6 293945463
Task2: 6 597656556
Task1: 7 292968900
Task1: 8 291992337
Task2: 8 595703430
Task1: 9 291015774
Task1: 10 290039211
Task2: 10 593750304
Task1: 11 289062648
Task1: 12 288086085
Task2: 12 591797178
Task1: 13 287109522
Task1: 14 286132959
Task2: 14 589844052
Task1: 15 285156396
Task1: 16 284179833
Task2: 16 587890926
Task1: 17 283203270
Task1: 18 282226707
Task2: 18 585937800
Task1: 19 281250144
Task1: 20 280273581
Task2: 20 583984674
Task1: 21 279297018
Task1: 22 278320455
Task2: 22 582031548
Task1: 23 277343892
Task1: 24 276367329
Task2: 24 580078422
Task1: 25 275390766
Task1: 26 274414203
Task2: 26 578125296
Task1: 27 273437640
Task1: 28 272461077
Task2: 28 576172170
Task1: 29 271484514
Task1: 30 270507951
Task2: 30 574219044
Task1: 31 269531388
Task1: 32 268554825
Task2: 32 572265918
Task1: 33 267578262
Task1: 34 266601699
Task2: 34 570312792
Task1: 35 265625136
Task1: 36 264648573
Task2: 36 568359666
Task1: 37 263672010
Task1: 38 262695447
Task2: 38 566406540
Task1: 39 261718884
Task1: 40 260742321
